n_traces,n_events,n_activities,trace_len_min,trace_len_max,trace_len_mean,trace_len_std,trace_len_median,duration_days,status,filename,level,drift_type,noise_pct,size_kb
2999,109637,47,30,57,36.56,3.95,36.0,22,OK,Atomic_ConditionalMove_output_ConditionalMove.xes.gz,Atomic,ConditionalMove,0,1019.2
2999,111828,52,30,58,37.29,4.06,37.0,22,OK,Atomic_ConditionalMove_output_ConditionalMove_2.xes.gz,Atomic,ConditionalMove,2,1052.3
2999,114021,52,30,59,38.02,4.16,37.0,22,OK,Atomic_ConditionalMove_output_ConditionalMove_5.xes.gz,Atomic,ConditionalMove,5,1070.0
2999,91252,43,26,54,30.43,3.77,30.0,22,OK,Atomic_ConditionalRemoval_output_ConditionalRemoval.xes.gz,Atomic,ConditionalRemoval,0,846.9
2999,93076,48,26,55,31.04,3.86,30.0,22,OK,Atomic_ConditionalRemoval_output_ConditionalRemoval_2.xes.gz,Atomic,ConditionalRemoval,2,877.8
2999,94900,48,26,54,31.64,3.91,31.0,22,OK,Atomic_ConditionalRemoval_output_ConditionalRemoval_5.xes.gz,Atomic,ConditionalRemoval,5,891.7
2999,102565,44,29,60,34.2,4.05,33.0,22,OK,Atomic_ConditionalToSequence_output_ConditionalToSequence.xes.gz,Atomic,ConditionalToSequence,0,951.3
2999,104615,49,29,62,34.88,4.16,34.0,22,OK,Atomic_ConditionalToSequence_output_ConditionalToSequence_2.xes.gz,Atomic,ConditionalToSequence,2,982.2
2999,106666,49,29,61,35.57,4.22,35.0,22,OK,Atomic_ConditionalToSequence_output_ConditionalToSequence_5.xes.gz,Atomic,ConditionalToSequence,5,997.2
2999,71015,31,19,46,23.68,3.74,23.0,21,OK,Atomic_Frequency_output_Frequency.xes.gz,Atomic,Frequency,0,614.0
2999,72434,36,19,47,24.15,3.83,23.0,21,OK,Atomic_Frequency_output_Frequency_2.xes.gz,Atomic,Frequency,2,638.9
2999,73854,36,19,48,24.63,3.91,24.0,21,OK,Atomic_Frequency_output_Frequency_5.xes.gz,Atomic,Frequency,5,649.5
2999,100471,41,27,82,33.5,7.08,31.0,22,OK,Atomic_Loop_output_Loop.xes.gz,Atomic,Loop,0,944.0
2999,102479,46,27,83,34.17,7.2,32.0,22,OK,Atomic_Loop_output_Loop_2.xes.gz,Atomic,Loop,2,976.9
2999,104488,46,27,83,34.84,7.28,33.0,22,OK,Atomic_Loop_output_Loop_5.xes.gz,Atomic,Loop,5,992.5
2999,108768,47,32,63,36.27,3.81,35.0,22,OK,Atomic_ParallelMove_output_ParallelMove.xes.gz,Atomic,ParallelMove,0,1020.9
2999,110371,52,32,56,36.8,3.88,36.0,22,OK,Atomic_ParallelMove_output_ParallelMove_2.xes.gz,Atomic,ParallelMove,2,1036.2
2999,113117,52,32,65,37.72,4.05,37.0,22,OK,Atomic_ParallelMove_output_ParallelMove_5.xes.gz,Atomic,ParallelMove,5,1069.0
2999,90496,43,27,47,30.18,2.86,30.0,22,OK,Atomic_ParallelRemoval_output_ParallelRemoval.xes.gz,Atomic,ParallelRemoval,0,839.9
2999,92305,48,27,48,30.78,2.99,30.0,22,OK,Atomic_ParallelRemoval_output_ParallelRemoval_2.xes.gz,Atomic,ParallelRemoval,2,870.2
2999,94114,48,27,49,31.38,3.1,31.0,22,OK,Atomic_ParallelRemoval_output_ParallelRemoval_5.xes.gz,Atomic,ParallelRemoval,5,883.6
2999,109816,44,32,58,36.62,3.72,36.0,22,OK,Atomic_ParallelToSequence_output_ParallelToSequence.xes.gz,Atomic,ParallelToSequence,0,932.8
2999,112011,49,32,58,37.35,3.83,36.0,22,OK,Atomic_ParallelToSequence_output_ParallelToSequence_2.xes.gz,Atomic,ParallelToSequence,2,963.7
2999,114208,49,32,60,38.08,3.9,37.0,22,OK,Atomic_ParallelToSequence_output_ParallelToSequence_5.xes.gz,Atomic,ParallelToSequence,5,979.7
2999,108401,46,32,56,36.15,3.77,35.0,22,OK,Atomic_SerialMove_output_SerialMove.xes.gz,Atomic,SerialMove,0,1001.3
2999,110567,51,32,56,36.87,3.89,36.0,22,OK,Atomic_SerialMove_output_SerialMove_2.xes.gz,Atomic,SerialMove,2,1033.2
2999,112735,51,32,58,37.59,3.92,37.0,22,OK,Atomic_SerialMove_output_SerialMove_5.xes.gz,Atomic,SerialMove,5,1049.8
2999,91559,43,27,50,30.53,2.91,30.0,22,OK,Atomic_SerialRemoval_output_SerialRemoval.xes.gz,Atomic,SerialRemoval,0,850.3
