level,drift_type,noise_pct,n_logs,avg_n_traces,avg_n_events,avg_n_activities,avg_trace_len,avg_size_kb
Atomic,ConditionalMove,0,1,2999.0,109637.0,47.0,36.56,1019.2
Atomic,ConditionalMove,2,1,2999.0,111828.0,52.0,37.29,1052.3
Atomic,ConditionalMove,5,1,2999.0,114021.0,52.0,38.02,1070.0
Atomic,ConditionalRemoval,0,1,2999.0,91252.0,43.0,30.43,846.9
Atomic,ConditionalRemoval,2,1,2999.0,93076.0,48.0,31.04,877.8
Atomic,ConditionalRemoval,5,1,2999.0,94900.0,48.0,31.64,891.7
Atomic,ConditionalToSequence,0,1,2999.0,102565.0,44.0,34.2,951.3
Atomic,ConditionalToSequence,2,1,2999.0,104615.0,49.0,34.88,982.2
Atomic,ConditionalToSequence,5,1,2999.0,106666.0,49.0,35.57,997.2
Atomic,Frequency,0,1,2999.0,71015.0,31.0,23.68,614.0
Atomic,Frequency,2,1,2999.0,72434.0,36.0,24.15,638.9
Atomic,Frequency,5,1,2999.0,73854.0,36.0,24.63,649.5
Atomic,Loop,0,1,2999.0,100471.0,41.0,33.5,944.0
Atomic,Loop,2,1,2999.0,102479.0,46.0,34.17,976.9
Atomic,Loop,5,1,2999.0,104488.0,46.0,34.84,992.5
Atomic,ParallelMove,0,1,2999.0,108768.0,47.0,36.27,1020.9
Atomic,ParallelMove,2,1,2999.0,110371.0,52.0,36.8,1036.2
Atomic,ParallelMove,5,1,2999.0,113117.0,52.0,37.72,1069.0
Atomic,ParallelRemoval,0,1,2999.0,90496.0,43.0,30.18,839.9
Atomic,ParallelRemoval,2,1,2999.0,92305.0,48.0,30.78,870.2
Atomic,ParallelRemoval,5,1,2999.0,94114.0,48.0,31.38,883.6
Atomic,ParallelToSequence,0,1,2999.0,109816.0,44.0,36.62,932.8
Atomic,ParallelToSequence,2,1,2999.0,112011.0,49.0,37.35,963.7
Atomic,ParallelToSequence,5,1,2999.0,114208.0,49.0,38.08,979.7
Atomic,SerialMove,0,1,2999.0,108401.0,46.0,36.15,1001.3
Atomic,SerialMove,2,1,2999.0,110567.0,51.0,36.87,1033.2
Atomic,SerialMove,5,1,2999.0,112735.0,51.0,37.59,1049.8
Atomic,SerialRemoval,0,1,2999.0,91559.0,43.0,30.53,850.3
Atomic,SerialRemoval,2,1,2999.0,93388.0,48.0,31.14,880.8
Atomic,SerialRemoval,5,1,2999.0,95220.0,48.0,31.75,894.9
Atomic,Skip,0,1,2999.0,101001.0,43.0,33.68,940.5
Atomic,Skip,2,1,2999.0,103020.0,48.0,34.35,970.8
Atomic,Skip,5,1,2999.0,105040.0,48.0,35.03,984.5
Atomic,Substitute,0,1,2999.0,98170.0,46.0,32.73,922.0
Atomic,Substitute,2,1,2999.0,100132.0,51.0,33.39,952.7
Atomic,Substitute,5,1,2999.0,102095.0,51.0,34.04,966.5
Atomic,Swap,0,1,2999.0,99439.0,42.0,33.16,933.7
Atomic,Swap,2,1,2999.0,101427.0,47.0,33.82,963.6
Atomic,Swap,5,1,2999.0,103416.0,47.0,34.48,976.5
Composite,IOR,0,1,2999.0,93413.0,40.0,31.15,865.3
Composite,IOR,2,1,2999.0,95280.0,45.0,31.77,896.8
Composite,IOR,5,1,2999.0,97149.0,45.0,32.39,910.5
Composite,IRO,0,1,2999.0,101643.0,48.0,33.89,949.6
Composite,IRO,2,1,2999.0,103675.0,53.0,34.57,981.9
Composite,IRO,5,1,2999.0,105708.0,53.0,35.25,997.0
Composite,OIR,0,1,2999.0,96419.0,46.0,32.15,897.1
Composite,OIR,2,1,2999.0,98346.0,51.0,32.79,927.6
Composite,OIR,5,1,2999.0,100275.0,51.0,33.44,941.8
Composite,ORI,0,1,2999.0,132541.0,46.0,44.2,1292.5
Composite,ORI,2,1,2999.0,135190.0,51.0,45.08,1330.0
Composite,ORI,5,1,2999.0,137841.0,51.0,45.96,1350.1
Composite,RIO,0,1,2999.0,102919.0,46.0,34.32,965.7
Composite,RIO,2,1,2999.0,104975.0,51.0,35.0,996.1
Composite,RIO,5,1,2999.0,107034.0,51.0,35.69,1011.2
Composite,ROI,0,1,2999.0,102319.0,47.0,34.12,960.5
Composite,ROI,2,1,2999.0,104363.0,52.0,34.8,989.1
Composite,ROI,5,1,2999.0,106410.0,52.0,35.48,1003.0
Nested,IOR,0,1,2999.0,140557.0,48.0,46.87,1369.3
Nested,IOR,2,1,2999.0,143366.0,53.0,47.8,1407.1
Nested,IOR,5,1,2999.0,146177.0,53.0,48.74,1426.8
Nested,IRO,0,1,2999.0,146613.0,52.0,48.89,1408.3
Nested,IRO,2,1,2999.0,149543.0,57.0,49.86,1446.7
Nested,IRO,5,1,2999.0,152475.0,57.0,50.84,1467.9
Nested,OIR,0,1,2999.0,103149.0,48.0,34.39,976.8
Nested,OIR,2,1,2999.0,105210.0,53.0,35.08,1006.1
Nested,OIR,5,1,2999.0,107274.0,53.0,35.77,1020.6
Nested,ORI,0,1,2999.0,117302.0,48.0,39.11,1112.3
Nested,ORI,2,1,2999.0,119647.0,53.0,39.9,1145.2
Nested,ORI,5,1,2999.0,121993.0,53.0,40.68,1162.1
Nested,RIO,0,1,2999.0,120158.0,50.0,40.07,1095.4
Nested,RIO,2,1,2999.0,122560.0,55.0,40.87,1132.2
Nested,RIO,5,1,2999.0,124963.0,55.0,41.67,1150.8
Nested,ROI,0,1,2999.0,97994.0,44.0,32.68,912.0
Nested,ROI,2,1,2999.0,99952.0,49.0,33.33,941.8
Nested,ROI,5,1,2999.0,101912.0,49.0,33.98,955.2
