dataset,candidate_id,scope,scope_trace_index,estimated_change_time,feature_kind,rank,feature,before_rate,after_rate,delta,z_score,localization_width
BPI Challenge 2017,ALL-D001,ALL,2110,2016-01-29T18:31:52.614000+00:00,edge,1,A_Complete->O_Create Offer,0.2733,0.0733,-0.2,6.471,300
BPI Challenge 2017,ALL-D001,ALL,2110,2016-01-29T18:31:52.614000+00:00,edge,2,A_Complete->A_Validating,0.4867,0.6733,0.1867,4.632,300
BPI Challenge 2017,ALL-D001,ALL,2110,2016-01-29T18:31:52.614000+00:00,edge,3,O_Sent (mail and online)->A_Validating,0.1867,0.0533,-0.1333,5.025,300
BPI Challenge 2017,ALL-D001,ALL,2110,2016-01-29T18:31:52.614000+00:00,edge,4,A_Pending->O_Cancelled,0.16,0.0767,-0.0833,3.16,300
BPI Challenge 2017,ALL-D001,ALL,2110,2016-01-29T18:31:52.614000+00:00,node,1,O_Cancelled,0.56,0.4367,-0.1233,3.021,300
BPI Challenge 2017,ALL-D002,ALL,14720,2016-07-04T19:08:24.048000+00:00,edge,1,O_Sent (mail and online)->O_Sent (mail and online),0.3767,0.0633,-0.3133,9.264,300
BPI Challenge 2017,ALL-D002,ALL,14720,2016-07-04T19:08:24.048000+00:00,edge,2,O_Created->O_Create Offer,0.3933,0.0933,-0.3,8.563,300
BPI Challenge 2017,ALL-D002,ALL,14720,2016-07-04T19:08:24.048000+00:00,edge,3,O_Cancelled->O_Cancelled,0.2933,0.0767,-0.2167,6.834,300
BPI Challenge 2017,ALL-D002,ALL,14720,2016-07-04T19:08:24.048000+00:00,edge,4,O_Cancelled->__END__,0.6133,0.43,-0.1833,4.495,300
BPI Challenge 2017,ALL-D002,ALL,14720,2016-07-04T19:08:24.048000+00:00,edge,5,A_Pending->__END__,0.21,0.37,0.16,4.319,300
BPI Challenge 2017,ALL-D002,ALL,14720,2016-07-04T19:08:24.048000+00:00,edge,6,A_Pending->O_Cancelled,0.24,0.1033,-0.1367,4.439,300
BPI Challenge 2017,ALL-D002,ALL,14720,2016-07-04T19:08:24.048000+00:00,edge,7,A_Complete->A_Validating,0.45,0.5867,0.1367,3.35,300
BPI Challenge 2017,ALL-D002,ALL,14720,2016-07-04T19:08:24.048000+00:00,node,1,O_Cancelled,0.6933,0.4633,-0.23,5.704,300
BPI Challenge 2017,LIMIT_RAISE-D001,Limit raise,1700,2016-06-30T18:04:15.036000+00:00,edge,1,W_Validate application->__END__,0.4,0.11,-0.29,8.149,300
BPI Challenge 2017,LIMIT_RAISE-D001,Limit raise,1700,2016-06-30T18:04:15.036000+00:00,edge,2,A_Pending->W_Validate application,0.39,0.1167,-0.2733,7.697,300
BPI Challenge 2017,LIMIT_RAISE-D001,Limit raise,1700,2016-06-30T18:04:15.036000+00:00,edge,3,A_Pending->__END__,0.3333,0.5633,0.23,5.664,300
BPI Challenge 2017,LIMIT_RAISE-D001,Limit raise,1700,2016-06-30T18:04:15.036000+00:00,edge,4,A_Pending->O_Cancelled,0.0233,0.08,0.0567,3.135,300
BPI Challenge 2017,LIMIT_RAISE-D001,Limit raise,1700,2016-06-30T18:04:15.036000+00:00,edge,5,A_Validating->A_Incomplete,0.0167,0.07,0.0533,3.208,300
BPI Challenge 2017,LIMIT_RAISE-D001,Limit raise,1700,2016-06-30T18:04:15.036000+00:00,node,1,W_Validate application,0.54,0.2767,-0.2633,6.562,300
BPI Challenge 2017,NEW_CREDIT-D001,New credit,1725,2016-01-28T13:59:34.288000+00:00,edge,1,A_Complete->O_Create Offer,0.3833,0.1067,-0.2767,7.879,300
BPI Challenge 2017,NEW_CREDIT-D001,New credit,1725,2016-01-28T13:59:34.288000+00:00,edge,2,A_Complete->A_Validating,0.4,0.6033,0.2033,4.981,300
BPI Challenge 2017,NEW_CREDIT-D001,New credit,1725,2016-01-28T13:59:34.288000+00:00,edge,3,O_Sent (mail and online)->A_Validating,0.2633,0.07,-0.1933,6.354,300
BPI Challenge 2017,NEW_CREDIT-D001,New credit,1725,2016-01-28T13:59:34.288000+00:00,edge,4,O_Cancelled->O_Cancelled,0.2267,0.0867,-0.14,4.717,300
BPI Challenge 2017,NEW_CREDIT-D001,New credit,1725,2016-01-28T13:59:34.288000+00:00,edge,5,A_Pending->O_Cancelled,0.2167,0.0933,-0.1233,4.174,300
BPI Challenge 2017,NEW_CREDIT-D001,New credit,1725,2016-01-28T13:59:34.288000+00:00,edge,6,O_Sent (mail and online)->A_Cancelled,0.1,0.0333,-0.0667,3.273,300
BPI Challenge 2017,NEW_CREDIT-D001,New credit,1725,2016-01-28T13:59:34.288000+00:00,edge,7,O_Sent (mail and online)->O_Create Offer,0.07,0.0133,-0.0567,3.473,300
BPI Challenge 2017,NEW_CREDIT-D001,New credit,1725,2016-01-28T13:59:34.288000+00:00,node,1,O_Cancelled,0.6333,0.5033,-0.13,3.214,300
BPI Challenge 2017,NEW_CREDIT-D002,New credit,12970,2016-07-04T19:08:24.048000+00:00,edge,1,O_Sent (mail and online)->O_Sent (mail and online),0.4,0.0733,-0.3267,9.413,300
BPI Challenge 2017,NEW_CREDIT-D002,New credit,12970,2016-07-04T19:08:24.048000+00:00,edge,2,O_Created->O_Create Offer,0.4167,0.1033,-0.3133,8.749,300
BPI Challenge 2017,NEW_CREDIT-D002,New credit,12970,2016-07-04T19:08:24.048000+00:00,edge,3,O_Cancelled->O_Cancelled,0.3067,0.0867,-0.22,6.779,300
BPI Challenge 2017,NEW_CREDIT-D002,New credit,12970,2016-07-04T19:08:24.048000+00:00,edge,4,O_Cancelled->__END__,0.6133,0.43,-0.1833,4.495,300
BPI Challenge 2017,NEW_CREDIT-D002,New credit,12970,2016-07-04T19:08:24.048000+00:00,edge,5,A_Pending->__END__,0.2133,0.3667,0.1533,4.139,300
