dataset,scope,window_size,step,scope_trace_index,global_trace_index,boundary_case_id,boundary_time,boundary_year_week,jsd_score,threshold,score_ratio,is_selected_peak
BPI Challenge 2017,ALL,150,10,150,150,Application_1754943309,2016-01-04T12:00:45.773000+00:00,2016-W01,0.010813956,0.0339268435,0.318743,False
BPI Challenge 2017,ALL,150,10,160,160,Application_1365381023,2016-01-04T13:29:31.474000+00:00,2016-W01,0.0116493943,0.0339268435,0.343368,False
BPI Challenge 2017,ALL,150,10,170,170,Application_1947668470,2016-01-04T14:40:06.912000+00:00,2016-W01,0.0131509039,0.0339268435,0.387625,False
BPI Challenge 2017,ALL,150,10,180,180,Application_1308403282,2016-01-04T16:04:35.836000+00:00,2016-W01,0.0144939546,0.0339268435,0.427212,False
BPI Challenge 2017,ALL,150,10,190,190,Application_1130151790,2016-01-04T17:48:54.583000+00:00,2016-W01,0.0119328383,0.0339268435,0.351723,False
BPI Challenge 2017,ALL,150,10,200,200,Application_1310063638,2016-01-04T18:44:28.417000+00:00,2016-W01,0.013745924,0.0339268435,0.405164,False
BPI Challenge 2017,ALL,150,10,210,210,Application_572814439,2016-01-04T20:01:26.109000+00:00,2016-W01,0.0134811715,0.0339268435,0.39736,False
BPI Challenge 2017,ALL,150,10,220,220,Application_1746133767,2016-01-04T21:22:59.108000+00:00,2016-W01,0.0142213985,0.0339268435,0.419178,False
BPI Challenge 2017,ALL,150,10,230,230,Application_1933550065,2016-01-05T08:23:53.784000+00:00,2016-W01,0.0135780145,0.0339268435,0.400214,False
BPI Challenge 2017,ALL,150,10,240,240,Application_2118101879,2016-01-05T10:14:11.329000+00:00,2016-W01,0.0147092741,0.0339268435,0.433559,False
BPI Challenge 2017,ALL,150,10,250,250,Application_402039661,2016-01-05T11:31:29.221000+00:00,2016-W01,0.0134592959,0.0339268435,0.396715,False
BPI Challenge 2017,ALL,150,10,260,260,Application_2059945768,2016-01-05T13:14:35.385000+00:00,2016-W01,0.0127255884,0.0339268435,0.375089,False
BPI Challenge 2017,ALL,150,10,270,270,Application_1195396325,2016-01-05T14:02:20.105000+00:00,2016-W01,0.012746141,0.0339268435,0.375695,False
BPI Challenge 2017,ALL,150,10,280,280,Application_243636886,2016-01-05T15:10:02.732000+00:00,2016-W01,0.0123317724,0.0339268435,0.363481,False
BPI Challenge 2017,ALL,150,10,290,290,Application_675506291,2016-01-05T16:21:19.432000+00:00,2016-W01,0.0124701375,0.0339268435,0.36756,False
BPI Challenge 2017,ALL,150,10,300,300,Application_804815556,2016-01-05T17:51:36.944000+00:00,2016-W01,0.0121220966,0.0339268435,0.357301,False
BPI Challenge 2017,ALL,150,10,310,310,Application_678686961,2016-01-05T19:39:19.595000+00:00,2016-W01,0.0123478652,0.0339268435,0.363956,False
BPI Challenge 2017,ALL,150,10,320,320,Application_874857207,2016-01-05T20:41:13.032000+00:00,2016-W01,0.0146234649,0.0339268435,0.431029,False
BPI Challenge 2017,ALL,150,10,330,330,Application_1052983039,2016-01-06T08:15:42.829000+00:00,2016-W01,0.0131729734,0.0339268435,0.388276,False
BPI Challenge 2017,ALL,150,10,340,340,Application_232465255,2016-01-06T09:22:02.983000+00:00,2016-W01,0.0135539298,0.0339268435,0.399505,False
BPI Challenge 2017,ALL,150,10,350,350,Application_1699815319,2016-01-06T10:40:55.784000+00:00,2016-W01,0.0153867819,0.0339268435,0.453528,False
BPI Challenge 2017,ALL,150,10,360,360,Application_1944285638,2016-01-06T13:03:39.746000+00:00,2016-W01,0.0160311146,0.0339268435,0.47252,False
BPI Challenge 2017,ALL,150,10,370,370,Application_1014301064,2016-01-06T13:56:37.110000+00:00,2016-W01,0.0134396138,0.0339268435,0.396135,False
BPI Challenge 2017,ALL,150,10,380,380,Application_59959307,2016-01-06T16:23:43.827000+00:00,2016-W01,0.0154718447,0.0339268435,0.456035,False
BPI Challenge 2017,ALL,150,10,390,390,Application_22095206,2016-01-06T19:07:00.747000+00:00,2016-W01,0.0155369624,0.0339268435,0.457955,False
BPI Challenge 2017,ALL,150,10,400,400,Application_1282765506,2016-01-06T21:10:56.250000+00:00,2016-W01,0.0155429639,0.0339268435,0.458132,False
BPI Challenge 2017,ALL,150,10,410,410,Application_775833032,2016-01-07T03:49:11.372000+00:00,2016-W01,0.015455332,0.0339268435,0.455549,False
BPI Challenge 2017,ALL,150,10,420,420,Application_854402455,2016-01-07T09:15:20.747000+00:00,2016-W01,0.0153638496,0.0339268435,0.452852,False
BPI Challenge 2017,ALL,150,10,430,430,Application_220286199,2016-01-07T10:49:41.728000+00:00,2016-W01,0.0147415329,0.0339268435,0.434509,False
BPI Challenge 2017,ALL,150,10,440,440,Application_2144860637,2016-01-07T12:39:58.709000+00:00,2016-W01,0.0130436496,0.0339268435,0.384464,False
BPI Challenge 2017,ALL,150,10,450,450,Application_1902262189,2016-01-07T13:56:23.420000+00:00,2016-W01,0.0127507126,0.0339268435,0.37583,False
BPI Challenge 2017,ALL,150,10,460,460,Application_346329864,2016-01-07T15:03:05.088000+00:00,2016-W01,0.0133574474,0.0339268435,0.393713,False
BPI Challenge 2017,ALL,150,10,470,470,Application_316292435,2016-01-07T17:28:38.029000+00:00,2016-W01,0.0149947361,0.0339268435,0.441973,False
BPI Challenge 2017,ALL,150,10,480,480,Application_953392572,2016-01-07T19:44:48.087000+00:00,2016-W01,0.0132932833,0.0339268435,0.391822,False
BPI Challenge 2017,ALL,150,10,490,490,Application_888479862,2016-01-07T22:12:34.348000+00:00,2016-W01,0.0125840788,0.0339268435,0.370918,False
