dataset,global_trace_index,case_id,application_type,case_start_time,case_start_year_week,case_end_time,duration_hours,retained_event_count,distinct_activity_count
BPI Challenge 2017,0,Application_652823628,New credit,2016-01-01T09:51:15.304000+00:00,2015-W53,2016-01-14T15:49:11.420000+00:00,317.9656,14,13
BPI Challenge 2017,1,Application_1691306052,New credit,2016-01-01T10:16:11.500000+00:00,2015-W53,2016-01-07T13:29:49.725000+00:00,147.2273,13,13
BPI Challenge 2017,2,Application_428409768,New credit,2016-01-01T11:19:38.177000+00:00,2015-W53,2016-01-14T07:00:14.450000+00:00,307.6767,19,15
BPI Challenge 2017,3,Application_1746793196,New credit,2016-01-01T12:34:53.911000+00:00,2015-W53,2016-01-28T12:18:51.306000+00:00,647.7326,24,17
BPI Challenge 2017,4,Application_828200680,New credit,2016-01-01T13:00:04.360000+00:00,2015-W53,2016-02-02T07:00:20.837000+00:00,762.0046,11,11
BPI Challenge 2017,5,Application_1085880569,New credit,2016-01-01T13:05:19.866000+00:00,2015-W53,2016-02-29T07:00:48.815000+00:00,1409.9247,15,11
BPI Challenge 2017,6,Application_1266995739,New credit,2016-01-01T13:22:19.758000+00:00,2015-W53,2016-01-09T15:48:53.168000+00:00,194.4426,13,13
BPI Challenge 2017,7,Application_1878239836,New credit,2016-01-01T13:35:26.422000+00:00,2015-W53,2016-01-11T09:30:53.009000+00:00,235.9241,14,14
BPI Challenge 2017,8,Application_619403287,New credit,2016-01-01T14:13:16.064000+00:00,2015-W53,2016-01-22T08:03:30.899000+00:00,497.8375,14,14
BPI Challenge 2017,9,Application_1710223761,New credit,2016-01-01T14:23:21.334000+00:00,2015-W53,2016-02-02T07:00:34.753000+00:00,760.6204,10,10
BPI Challenge 2017,10,Application_1529124572,New credit,2016-01-01T14:42:36.728000+00:00,2015-W53,2016-01-27T09:25:38.989000+00:00,618.7173,15,14
BPI Challenge 2017,11,Application_387012864,New credit,2016-01-01T16:00:01.353000+00:00,2015-W53,2016-02-02T07:00:36.975000+00:00,759.0099,11,11
BPI Challenge 2017,12,Application_1120819670,New credit,2016-01-01T16:22:50.533000+00:00,2015-W53,2016-01-11T09:42:07.014000+00:00,233.3212,15,14
BPI Challenge 2017,13,Application_42838382,New credit,2016-01-01T16:58:48.775000+00:00,2015-W53,2016-02-29T07:01:02.434000+00:00,1406.0371,19,11
BPI Challenge 2017,14,Application_180547487,New credit,2016-01-01T17:04:16.739000+00:00,2015-W53,2016-01-12T12:56:49.677000+00:00,259.8758,19,15
BPI Challenge 2017,15,Application_1966208034,New credit,2016-01-01T17:06:50.703000+00:00,2015-W53,2016-02-02T07:00:21.963000+00:00,757.892,11,11
BPI Challenge 2017,16,Application_1806387393,New credit,2016-01-01T17:58:26.178000+00:00,2015-W53,2016-01-11T13:19:39.094000+00:00,235.3536,15,15
BPI Challenge 2017,17,Application_1111870538,New credit,2016-01-01T19:13:17.386000+00:00,2015-W53,2016-01-08T09:59:40.730000+00:00,158.7732,11,11
BPI Challenge 2017,18,Application_1017492916,New credit,2016-01-01T19:18:43.997000+00:00,2015-W53,2016-02-02T07:00:27.791000+00:00,755.6955,10,10
BPI Challenge 2017,19,Application_2082119944,New credit,2016-01-01T21:14:25.752000+00:00,2015-W53,2016-01-14T14:38:04.276000+00:00,305.394,13,13
BPI Challenge 2017,20,Application_758985626,New credit,2016-01-01T21:24:12.454000+00:00,2015-W53,2016-02-22T10:14:16.994000+00:00,1236.8346,13,13
BPI Challenge 2017,21,Application_1018615109,New credit,2016-01-01T21:57:30.249000+00:00,2015-W53,2016-01-22T07:55:33.101000+00:00,489.9675,18,15
BPI Challenge 2017,22,Application_319587802,New credit,2016-01-02T01:08:49.567000+00:00,2015-W53,2016-01-25T10:13:22.181000+00:00,561.0757,23,15
BPI Challenge 2017,23,Application_1846626914,New credit,2016-01-02T08:57:01.662000+00:00,2015-W53,2016-01-13T12:28:00.517000+00:00,267.5163,14,14
BPI Challenge 2017,24,Application_546206358,New credit,2016-01-02T08:57:03.601000+00:00,2015-W53,2016-01-11T09:39:35.166000+00:00,216.7088,13,13
BPI Challenge 2017,25,Application_196483749,New credit,2016-01-02T09:12:07.481000+00:00,2015-W53,2016-02-29T07:01:05.256000+00:00,1389.816,22,11
BPI Challenge 2017,26,Application_1363980603,New credit,2016-01-02T09:24:04.072000+00:00,2015-W53,2016-01-07T13:32:04.371000+00:00,124.1334,10,10
BPI Challenge 2017,27,Application_1553362978,New credit,2016-01-02T09:27:03.845000+00:00,2015-W53,2016-02-29T07:01:06.450000+00:00,1389.5674,18,10
BPI Challenge 2017,28,Application_1197857445,New credit,2016-01-02T09:33:11.203000+00:00,2015-W53,2016-02-27T07:15:59.028000+00:00,1341.7133,15,11
BPI Challenge 2017,29,Application_931862671,New credit,2016-01-02T10:15:48.153000+00:00,2015-W53,2016-02-01T19:18:40.303000+00:00,729.0478,19,11
BPI Challenge 2017,30,Application_2012588584,New credit,2016-01-02T10:26:22.572000+00:00,2015-W53,2016-01-27T09:56:56.971000+00:00,599.5096,20,15
BPI Challenge 2017,31,Application_1825972191,New credit,2016-01-02T11:06:39.120000+00:00,2015-W53,2016-02-17T15:49:47.334000+00:00,1108.7189,28,17
BPI Challenge 2017,32,Application_1059184025,New credit,2016-01-02T11:10:04.322000+00:00,2015-W53,2016-01-08T16:05:47.594000+00:00,148.9287,21,14
