case:concept:name,trace,start_time,end_time,app_type,duration_hours,has_accepted,has_denied,has_cancelled,is_success,edit_distance,norm_distance,rework_events,trace_len,is_non_success,deviation_band
Application_1000086665,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-08-03 15:57:21.673000+00:00,2016-09-05 06:00:36.829000+00:00,New credit,782.05421,True,False,True,False,6,0.5,0,10,True,high
Application_1000158214,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending')",2016-06-02 10:14:26.844000+00:00,2016-06-10 11:02:01.278000+00:00,New credit,192.79289833333334,True,False,False,True,1,0.07692307692307693,0,13,False,low
Application_1000311556,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-04-04 15:56:37.675000+00:00,2016-05-05 06:00:48.950000+00:00,New credit,734.0697986111111,True,False,True,False,4,0.3333333333333333,0,10,True,medium
Application_1000334415,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'A_Denied', 'O_Refused')",2016-09-15 16:39:17.758000+00:00,2016-09-29 07:45:34.380000+00:00,New credit,327.1046172222222,True,True,False,False,6,0.375,2,16,True,medium
Application_1000339879,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'W_Call incomplete files', 'A_Validating', 'A_Incomplete', 'W_Call incomplete files', 'A_Validating', 'O_Accepted', 'A_Pending')",2016-03-17 12:57:10.159000+00:00,2016-03-30 09:11:48.596000+00:00,New credit,308.24401027777776,True,False,False,True,8,0.4,5,20,False,medium
Application_100034150,"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending')",2016-02-26 08:17:08.702000+00:00,2016-03-08 11:35:09.064000+00:00,New credit,267.30010055555556,True,False,False,True,5,0.29411764705882354,2,17,False,medium
Application_1000386745,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'A_Complete', 'A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating', 'A_Incomplete', 'O_Accepted', 'A_Pending')",2016-11-25 14:31:09.852000+00:00,2016-12-06 13:58:37.769000+00:00,New credit,263.4577547222222,True,False,False,True,6,0.375,3,16,False,medium
Application_1000474975,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending', 'W_Validate application')",2016-06-16 15:37:24.412000+00:00,2016-06-29 11:06:58.078000+00:00,New credit,307.492685,True,False,False,True,1,0.07692307692307693,1,13,False,low
Application_1000557783,"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending', 'W_Validate application')",2016-03-09 19:08:45.338000+00:00,2016-03-22 13:09:48.407000+00:00,New credit,306.01751916666666,True,False,False,True,1,0.07692307692307693,1,13,False,low
Application_1000604502,"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent', 'W_Complete application', 'A_Complete', 'A_Cancelled', 'O_Cancelled')",2016-12-06 21:13:23.869000+00:00,2017-01-09 07:00:24.761000+00:00,New credit,801.7835811111111,True,False,True,False,5,0.4166666666666667,0,11,True,high
